ano,país,valor_fob_usd
2015,Afeganistão,6706901
2015,Albânia,36546211
2015,Alemanha,5177952550
2015,Andorra,152825
2015,Angola,645230155
2015,Anguilla,716610
2015,Antilhas Holandesas,532637898
2015,Antígua e Barbuda,6019469
2015,Argentina,12793412815
2015,Argélia,992882604
2015,Armênia,20844202
2015,Aruba,30301263
2015,Arábia Saudita,2750066382
2015,Austrália,400163472
2015,Azerbaijão,25940482
2015,Bahamas,593539486
2015,Bangladesh,1147400136
2015,Barbados,16405325
2015,Barein,309106623
2015,Belarus,11970035
2015,Belize,7559875
2015,Benin,109898815
2015,Bermudas,1877206
2015,Bolívia,1481873074
2015,Botsuana,3822357
2015,Brunei,1346483
2015,Bulgária,117910940
2015,Burkina Faso,893158
2015,Burundi,115392
2015,Butão,4465
2015,Bélgica,2989323071
2015,Bósnia-Herzegovina,924707
2015,Cabo Verde,21324068
2015,Camarões,67369143
2015,Camboja,3394426
2015,Canadá,2362290119
2015,"Canal, Ilhas do (Guernsey)",22289
2015,"Canárias, Ilhas",28515674
2015,Catar,356953936
2015,"Cayman, Ilhas",56099815
2015,Cazaquistão,8107355
2015,Chade,1188659
2015,Chile,3977939847
2015,China,35155353691
2015,Chipre,9271686
2015,"Cocos (Keeling), Ilhas",43
2015,Colômbia,2113831723
2015,Comores,869352
2015,Congo,66795578
2015,"Congo, República Democrática",41960194
2015,"Cook, Ilhas",12558
2015,Coreia do Norte,2482040
2015,Coreia do Sul,3122050219
2015,Costa Rica,267420069
2015,Costa do Marfim,47049758
2015,Coveite (Kuweit),239389928
2015,Croácia,78607504
2015,Cuba,513507613
2015,Curaçao,19063
2015,Dinamarca,321894260
2015,Djibuti,14339864
2015,Dominica,2711670
2015,Egito,2055849447
2015,El Salvador,106196907
2015,Emirados Árabes Unidos,2503154435
2015,Equador,664883582
2015,Eritreia,1280226
2015,Eslováquia,21272614
2015,Eslovênia,380791103
2015,Espanha,2942939740
2015,Estados Unidos,24037439900
2015,Estônia,32767888
2015,Etiópia,21962083
2015,Falkland (Malvinas),111864
2015,"Faroe, Ilhas",55893
2015,Fiji,1031909
2015,Filipinas,728529762
2015,Finlândia,269320136
2015,França,2245249903
2015,Gabão,36458808
2015,Gana,182986567
2015,Geórgia,194406000
2015,Gibraltar,147857
2015,Granada,7689899
2015,Groenlândia,8913
2015,Grécia,117019918
2015,Guadalupe,8760671
2015,Guam,102542
2015,Guatemala,224310403
2015,Guiana,21874361
2015,Guiana Francesa,5800440
2015,Guiné,53888774
2015,Guiné Equatorial,25190992
2015,Guiné-Bissau,2885872
2015,Gâmbia,78989961
2015,Haiti,37735305
2015,Honduras,102248023
2015,Hong Kong,2099027357
2015,Hungria,239038298
2015,Ilha de Man,8692326
2015,Indonésia,2180349131
2015,Iraque,306583030
2015,Irlanda,383422698
2015,Irã,1666185295
2015,Islândia,292864900
2015,Israel,380547461
2015,Itália,3269828953
2015,Iêmen,214301925
2015,Jamaica,59242027
2015,Japão,4843041529
2015,"Johnston, Ilhas",2113
2015,Jordânia,241856606
2015,Kiribati,34099
2015,Laos,205573
2015,"Lebuan, Ilhas",16127
2015,Lesoto,14111
2015,Letônia,26581190
2015,Libéria,26412010
2015,Liechtenstein,23455724
2015,Lituânia,52102571
2015,Luxemburgo,36379805
2015,Líbano,286388214
2015,Líbia,147870040
2015,Macau,497029
2015,Macedônia,17715776
2015,Madagascar,22734199
2015,Malavi,1157224
2015,Maldivas,12407998
2015,Mali,7977850
2015,Malta,15425875
2015,Malásia,1829607184
2015,"Marianas do Norte, Ilhas",76
2015,Marrocos,494263366
2015,"Marshall, Ilhas",11610227
2015,Martinica,7109132
2015,Mauritânia,141696324
2015,Maurício,39921529
2015,Mianmar,40138331
2015,Micronésia,211771
2015,"Midway, Ilhas",88
2015,Moldávia,2093183
2015,Mongólia,1194527
2015,Montenegro,21474075
2015,Montserrat,6026
2015,Moçambique,69099529
2015,México,3585817584
2015,Mônaco,260018
2015,Namíbia,7020710
2015,Nepal,831958
2015,Nicarágua,94036913
2015,Nigéria,688375846
2015,Niue,253680
2015,Noruega,678810171
2015,Nova Caledônia,6222863
2015,Nova Zelândia,64200352
2015,Níger,754681
2015,Omã,583887937
2015,"Pacífico, Ilhas do (EUA)",187625
2015,Palestina,47004018
2015,Panamá,304702628
2015,Papua Nova Guiné,3335192
2015,Paquistão,297853140
2015,Paraguai,2473259309
2015,Países Baixos (Holanda),7818909467
2015,Peru,1815220905
2015,Pitcairn,362
2015,Polinésia Francesa,975891
2015,Polônia,494901520
2015,Porto Rico,135836596
2015,Portugal,819914320
2015,Provisão de Navios e Aeronaves,2419263396
2015,Quirguistão,2889667
2015,Quênia,60559246
2015,Reino Unido,2906889380
2015,República Centro-Africana,1737356
2015,República Dominicana,522840211
2015,Reunião,2918296
2015,Romênia,242329934
2015,Ruanda,698475
2015,Rússia,2463242914
2015,"Salomão, Ilhas",324501
2015,Samoa,375494
2015,Samoa Americana,40679
2015,San Marino,8337
2015,Santa Helena,4603
2015,Santa Lúcia,672825717
2015,Seicheles,7708524
2015,Senegal,131900123
2015,Serra Leoa,45749022
2015,Singapura,1354767255
2015,Sint Maarten,41009
2015,Somália,36870683
2015,Sri Lanka,116652976
2015,Suazilândia,360871
2015,Sudão,23370347
2015,Sudão do Sul,692002
2015,Suriname,38426458
2015,Suécia,503456766
2015,Suíça,1065426071
2015,São Bartolomeu,2047
2015,São Cristóvão e Névis,3277384
2015,São Tomé e Príncipe,881964
2015,São Vicente e Granadinas,3285101
2015,Sérvia,33197080
2015,Síria,69452197
2015,Tadjiquistão,2741947
2015,Tailândia,1746082501
2015,Taiwan (Formosa),1574078988
2015,Tanzânia,16779350
2015,"Tcheca, República",26071991
2015,Timor Leste,6228732
2015,Togo,67857031
2015,Tonga,868648
2015,Trinidad e Tobago,266543199
2015,Tunísia,302968833
2015,"Turcas e Caicos, Ilhas",3341907
2015,Turcomenistão,2747288
2015,Turquia,1335347495
2015,Ucrânia,84450926
2015,Uganda,5967203
2015,Uruguai,2726537719
2015,Uzbequistão,9912679
2015,Vanuatu,220889
2015,Venezuela,2954318802
2015,Vietnã,2123972982
2015,"Virgens, Ilhas (Americanas)",177698
2015,"Virgens, Ilhas (Britânicas)",15561494
2015,Zimbábue,11178157
2015,Zâmbia,5334118
2015,África do Sul,1353281612
2015,Áustria,139100372
