ano,país,valor_fob_usd
2015,Afeganistão,280870
2015,Albânia,736288
2015,Alemanha,10382669904
2015,Andorra,8638
2015,Angola,31847776
2015,Antilhas Holandesas,110579986
2015,Antígua e Barbuda,1869
2015,Argentina,10284395087
2015,Argélia,1813016954
2015,Armênia,101017
2015,Aruba,1612
2015,Arábia Saudita,1906560455
2015,Austrália,1053290360
2015,Azerbaijão,212286
2015,Bahamas,1791983
2015,Bangladesh,211737601
2015,Barbados,5380034
2015,Barein,73526645
2015,Belarus,514414779
2015,Belize,260023
2015,Bermudas,110764
2015,Bolívia,2506280848
2015,Botsuana,173070
2015,Brasil,714107085
2015,Brunei,577364
2015,Bulgária,43091460
2015,Burkina Faso,16456
2015,Burundi,7493
2015,Butão,67370
2015,Bélgica,1622887566
2015,Bósnia-Herzegovina,5762278
2015,Cabo Verde,31327
2015,Camarões,1703854
2015,Camboja,40017845
2015,Canadá,2421125637
2015,"Canal, Ilhas do (Guernsey)",12567
2015,"Canárias, Ilhas",38180
2015,Catar,960499759
2015,"Cayman, Ilhas",352264
2015,Cazaquistão,139133687
2015,Chade,66107
2015,Chile,3391399889
2015,China,30714059053
2015,Chipre,1084905
2015,"Christmas (Navidad), Ilha",6153
2015,"Cocos (Keeling), Ilhas",9711
2015,Colômbia,1189357349
2015,Comores,30781
2015,Congo,32586
2015,"Congo, República Democrática",40468431
2015,Coreia do Norte,15302551
2015,Coreia do Sul,5421263309
2015,Costa Rica,52629812
2015,Costa do Marfim,63600646
2015,Coveite (Kuweit),430740876
2015,Croácia,8650072
2015,Cuba,50696537
2015,Curaçao,71
2015,Dinamarca,667655814
2015,Djibuti,9459
2015,Dominica,10373
2015,Egito,108146150
2015,El Salvador,7075409
2015,Emirados Árabes Unidos,461932000
2015,Equador,117726453
2015,Eritreia,1839
2015,Eslováquia,118618538
2015,Eslovênia,62621286
2015,Espanha,3498494802
2015,Estados Unidos,26480395048
2015,Estônia,22674164
2015,Etiópia,97065
2015,Falkland (Malvinas),1257
2015,"Faroe, Ilhas",159287
2015,Fiji,6275
2015,Filipinas,254434342
2015,Finlândia,561420277
2015,França,4443788764
2015,Gabão,3033
2015,Gana,33776749
2015,Geórgia,12738749
2015,Gibraltar,53551
2015,Granada,56478
2015,Groenlândia,32
2015,Grécia,48306202
2015,Guadalupe,2656
2015,Guatemala,28496580
2015,Guiana,7767971
2015,Guiné,129472
2015,Guiné Equatorial,524419655
2015,Guiné-Bissau,503726
2015,Gâmbia,7335
2015,Haiti,1174213
2015,Honduras,15726087
2015,Hong Kong,617979480
2015,Hungria,417275329
2015,Ilha de Man,75914
2015,Indonésia,1374934029
2015,Iraque,476765539
2015,Irlanda,522846359
2015,Irã,3282020
2015,Islândia,17109563
2015,Israel,896059971
2015,Itália,4675721582
2015,Iêmen,251001
2015,Jamaica,1921458
2015,Japão,4875614177
2015,"Johnston, Ilhas",13279
2015,Jordânia,6682188
2015,Laos,381602
2015,Lesoto,8184
2015,Letônia,31888724
2015,Libéria,2720186
2015,Liechtenstein,9279414
2015,Lituânia,19876930
2015,Luxemburgo,88769259
2015,Líbano,23796724
2015,Líbia,64
2015,Macau,4876787
2015,Macedônia,9674927
2015,Madagascar,2031253
2015,"Madeira, Ilha da",23580
2015,Malavi,1266489
2015,Maldivas,2160
2015,Mali,63729
2015,Malta,20428127
2015,Malásia,1536707253
2015,"Marianas do Norte, Ilhas",1890
2015,Marrocos,739768761
2015,"Marshall, Ilhas",271169
2015,Mauritânia,71117
2015,Maurício,1095055
2015,Mianmar,2086336
2015,Micronésia,61
2015,"Midway, Ilhas",6721
2015,Moldávia,1240662
2015,Mongólia,72399
2015,Montenegro,180844
2015,Montserrat,36317
2015,Moçambique,18939135
2015,México,4377367399
2015,Mônaco,5936067
2015,Namíbia,17122
2015,Nauru,83
2015,Nepal,566964
2015,Nicarágua,3487800
2015,Nigéria,4632637242
2015,Niue,17221
2015,"Norfolk, Ilha",547
2015,Noruega,776718045
2015,Nova Caledônia,376784
2015,Nova Zelândia,56012760
2015,Níger,93711
2015,Omã,72111939
2015,Organizações Internacionais,3000
2015,"Pacífico, Ilhas do (EUA)",50720
2015,Palau,215
2015,Palestina,138945
2015,Panamá,8753993
2015,Papua Nova Guiné,793
2015,Paquistão,70842980
2015,Paraguai,2537212577
2015,Países Baixos (Holanda),2468627495
2015,Peru,1249093481
2015,Pitcairn,3031
2015,Polinésia Francesa,19353
2015,Polônia,529474835
2015,Porto Rico,290176157
2015,Portugal,809886643
2015,Quirguistão,4595
2015,Quênia,1798924
2015,Reino Unido,2801010560
2015,República Centro-Africana,41819
2015,República Dominicana,24915890
2015,Reunião,50700
2015,Romênia,283108868
2015,Ruanda,4262
2015,Rússia,2220842892
2015,Saara Ocidental,7678
