economy,female_rate,male_rate,rate_gap
AFG,19.062,70.659,51.59700000000001
AGO,74.079,77.909,3.8300000000000125
ALB,61.901,77.647,15.746000000000002
ARE,55.54,92.277,36.737
ARG,58.254,77.857,19.603
ARM,68.687,78.379,9.692000000000007
AUS,73.886,83.185,9.299000000000007
AUT,72.486,81.232,8.745999999999995
AZE,68.824,72.936,4.112000000000009
BDI,82.278,78.962,-3.3160000000000025
BEL,64.908,73.072,8.164000000000001
BEN,75.803,76.289,0.4860000000000042
BFA,48.87,62.224,13.354
BGD,41.885,83.067,41.181999999999995
BGR,68.821,77.634,8.813000000000002
BHR,44.756,88.329,43.57299999999999
BHS,75.171,86.655,11.483999999999995
BIH,49.973,72.716,22.742999999999995
BLR,75.141,81.774,6.632999999999996
BLZ,59.416,84.339,24.923000000000002
BOL,68.078,83.828,15.75
BRA,62.087,80.935,18.848
BRB,74.079,78.405,4.326000000000008
BRN,58.779,77.054,18.275
BTN,63.187,73.118,9.930999999999997
BWA,60.532,70.402,9.870000000000005
CAF,66.376,82.213,15.836999999999989
CAN,75.719,82.684,6.965000000000003
CHE,80.224,88.265,8.040999999999997
CHI,65.951,79.511,13.560000000000002
CHL,60.066,79.444,19.378
CHN,69.904,80.599,10.695000000000007
CIV,57.992,73.952,15.96
CMR,60.577,75.588,15.010999999999996
COD,63.316,69.779,6.462999999999994
COG,67.523,70.584,3.061000000000007
COL,57.254,80.982,23.728
COM,40.595,59.93,19.335
CPV,55.432,67.716,12.283999999999992
CRI,58.805,81.674,22.869000000000007
CUB,52.808,77.67,24.862000000000002
CYP,71.806,81.719,9.912999999999997
CZE,69.6,83.238,13.638000000000005
DEU,74.844,83.436,8.592000000000013
DJI,19.321,47.434,28.112999999999996
DNK,76.059,81.967,5.908000000000001
DOM,56.378,81.245,24.867000000000004
DZA,15.995,73.803,57.808
ECU,57.374,80.892,23.517999999999994
EGY,17.001,71.36,54.358999999999995
ERI,75.507,85.659,10.152000000000001
ESP,68.728,78.745,10.01700000000001
EST,75.479,81.175,5.695999999999998
ETH,63.757,82.114,18.357000000000006
FIN,76.475,79.372,2.8970000000000056
FJI,41.003,79.256,38.253
FRA,68.195,75.225,7.030000000000001
GAB,43.645,62.336,18.690999999999995
GBR,73.483,81.523,8.039999999999992
GEO,60.742,77.199,16.457
GHA,65.114,69.631,4.516999999999996
GIN,43.583,64.344,20.760999999999996
GMB,46.261,51.411,5.149999999999999
GNB,56.094,69.32,13.225999999999992
GNQ,55.613,68.667,13.054000000000002
GRC,59.523,74.998,15.475000000000001
GTM,38.773,83.816,45.043
GUM,64.06,73.134,9.073999999999998
GUY,43.472,66.079,22.606999999999992
HKG,65.889,79.976,14.087000000000003
HND,48.704,83.46,34.75599999999999
HRV,61.648,71.663,10.014999999999993
HTI,63.866,70.42,6.554000000000002
HUN,69.337,79.951,10.61399999999999
IDN,56.303,84.54,28.23700000000001
IND,28.281,79.924,51.64300000000001
IRL,67.408,79.193,11.784999999999997
IRN,18.326,75.29,56.964000000000006
IRQ,12.001,74.833,62.832
