region_code,region_name
AFE,Africa Eastern and Southern
AFR,Africa
AFW,Africa Western and Central
ARB,Arab World
CAA,Sub-Saharan Africa (IFC classification)
CEA,East Asia and the Pacific (IFC classification)
CEB,Central Europe and the Baltics
CEU,Europe and Central Asia (IFC classification)
CLA,Latin America and the Caribbean (IFC classification)
CME,Middle East and North Africa (IFC classification)
CSA,South Asia (IFC classification)
CSS,Caribbean small states
EAP,East Asia & Pacific (excluding high income)
EAR,Early-demographic dividend
EAS,East Asia & Pacific
ECA,Europe & Central Asia (excluding high income)
ECS,Europe & Central Asia
EMU,Euro area
EUU,European Union
FCS,Fragile and conflict affected situations
HPC,Heavily indebted poor countries (HIPC)
LAC,Latin America & Caribbean (excluding high income)
LCN,Latin America & Caribbean 
LDC,Least developed countries: UN classification
LTE,Late-demographic dividend
MDE,Middle East (developing only)
MEA,Middle East & North Africa
MNA,Middle East & North Africa (excluding high income)
NAC,North America
NAF,North Africa
NRS,Non-resource rich Sub-Saharan Africa countries
OED,OECD members
OSS,Other small states
PRE,Pre-demographic dividend
PSS,Pacific island small states
PST,Post-demographic dividend
RRS,Resource rich Sub-Saharan Africa countries
SAS,South Asia
SSA,Sub-Saharan Africa (excluding high income)
SSF,Sub-Saharan Africa 
SST,Small states
SXZ,Sub-Saharan Africa excluding South Africa
WLD,World
XZN,Sub-Saharan Africa excluding South Africa and Nigeria
